Equipment Type_Centrifugal,Equipment Type_Exhaust,Location_Plant B,Location_Plant C,Vibration_Z,RPM,Temperature (°C),Humidity (%),Sound (dB),Pressure (bar),Current (A),Vibration_Y,Vibration_X,vibration_total,Overheating
0,0,0,1,78.63484112299342,1.373694219007377,0.0707336188753952,0.3796244113780299,0.40771700230200236,5.406576445248156,70.25358972048576,62.53330705852713,4.683850966789784,0.5625769644573324,1
0,0,0,0,79.55410807114164,1.4227901664169347,0.2658271864579018,0.485741852496254,0.4001753861582235,5.584361062780949,66.81852773830776,64.54428100220774,4.4692052647687035,0.7066938410782313,1
0,0,0,1,80.3979204107816,1.5489001055587162,0.11141896938797233,0.532500199595713,0.5296494424704996,5.207905153060138,69.60790515306013,59.54204437192564,5.84897781403718,0.7598227606738106,1
0,1,0,1,69.03762488928825,1.7074820193015858,0.46964751001904,0.5690143943147375,0.31322300944036613,7.007769905596339,70.15453240428117,59.30848923109296,5.464460383927451,0.8054556786182705,1
0,1,0,1,74.7340030476742,1.1307054178751446,0.05771636167188274,0.27982543948443434,0.3417628991375392,5.467323645531215,70.72221097981222,65.75724775926372,3.3734470749695293,0.4458837447292191,1
0,1,0,0,74.94476011292136,1.3511427058176375,0.1687686153128851,0.626929357972078,0.6374272253293874,4.921156923435574,69.32115692343557,60.71870090038506,5.2606495498074715,0.910376454146083,1
0,1,1,0,79.26163545924491,1.3626389530420115,0.4327680819550164,0.48846661337123465,0.47893322674246924,4.881287499261789,66.59835275657201,63.38977195473893,5.677289098124749,0.8581746362020785,1
0,0,0,0,77.53359059337731,1.292012336140926,0.3746997301626791,0.4837801850421139,0.35211453353179034,5.731486121841458,65.05956592109546,67.88238512000285,3.475293754671038,0.716463131194244,1
0,0,0,1,81.4689046476272,1.5877390624706147,0.1001556718835217,0.5139545976702814,0.5084822109535149,5.264221640582392,69.66422164058238,59.31095257829984,5.964523710850079,0.7302544693160528,1
0,1,0,1,75.80331694946878,1.1973145152060645,0.06128470617175345,0.3071827473167764,0.3598425112702175,5.450671371198484,70.59375057781686,64.87348777146241,3.7326604212898475,0.4778721738029459,1
0,0,0,1,82.05622563246675,1.575093176737239,0.1663831707063851,0.4888751791860331,0.4797503583720663,5.23265409998851,69.00480540573525,60.02727529894716,6.016398724407516,0.7297139432736616,1
0,1,0,1,75.77004614368084,1.195242028972333,0.06117368012351784,0.3063315476136368,0.3592799792924904,5.451189492756917,70.59774751555335,64.9009852227421,3.721483799100796,0.47687688064404554,1
0,0,0,1,80.4308495614203,1.48557016177924,0.0767269729524593,0.42557345930218793,0.4380833296257937,5.37860745955519,70.03782897371146,61.04895303210758,5.287181943880902,0.6163043951509894,1
0,1,1,0,76.91070042583559,1.1839128978705418,0.6568630588238592,0.4881229094189818,0.4782458188379636,4.585702100324358,64.57393647780287,66.2184554817797,5.392014817754903,0.9662415528882127,1
0,1,0,1,74.42306157650967,1.1113364274577773,0.05667873718523807,0.2718703184201585,0.33650560173853955,5.472165893135556,70.75956546133142,66.01423275712271,3.2689928766472987,0.4365819586215723,1
0,0,0,1,81.892235569269,1.5626260959093399,0.1820149720521354,0.4888512040305949,0.47970240806118974,5.2120354663116,68.86359174020386,60.2245908282041,5.9964993453937545,0.7372521781653526,1
0,0,0,1,77.80668807612871,1.4549297579738425,0.13867037018758566,0.5773710405674902,0.5808632819042557,5.071648149062072,69.47164814906206,60.10116794005564,5.5694160299721815,0.8313628543658758,1
1,0,0,0,60.31916600098487,1.3934222719307165,0.10091324493461873,0.437782872659198,0.7512851893275597,5.676047291917122,77.68954305798948,70.27706502628635,4.062244767549658,0.8797879737297727,1
0,0,1,0,61.34418068189532,1.4829866615248335,0.38652413175141387,0.275074231563219,0.7587488884604028,6.357731812716789,77.41587408978523,67.3214401696805,4.6444132999114185,0.9511407378460404,1
0,0,1,0,56.69239920275487,1.7599804549531999,0.6821344979728055,0.4175145378350617,0.6252417538301291,7.555399463959017,76.2778170022603,62.731540430196056,4.3550879527106,1.0237207533796149,1
1,0,0,0,61.12721306440948,1.4640283260163625,0.3260681062966224,0.30951520773694163,0.7571690271680303,6.213437814680092,77.47380233717223,67.94706524146004,4.521184119106356,0.9360373061394969,1
0,0,1,0,61.566820389685624,1.5024406165744717,0.44856063285414854,0.23973287988970982,0.760370051381206,6.505798026150146,77.35643144935578,66.67945965304244,4.770864007734065,0.9666390120158951,1
0,0,1,0,63.14019395547244,1.6300145466604328,0.611130042227714,0.25188983820821076,0.7588554111118533,7.285778706639059,75.9811452578992,64.42713731555793,4.955652635581975,1.032009058775293,1
0,0,1,0,61.010920984296995,1.6147090800389392,0.6682676849128079,0.18772163569795838,0.7328746361529678,7.145998316473373,76.94474467800306,64.04558604873868,5.008809139824773,1.0212282647594095,1
0,0,0,1,62.59139340315464,1.6233258733964386,0.7401798191377698,0.10938201808622303,0.5222245787591369,6.928584217034676,73.44004280799062,68.17519315583694,4.082538676761008,0.9219148298523043,1
0,0,1,0,63.42231341910448,1.651173506432836,0.5924900062377398,0.2994471192204691,0.7563364873294243,7.379482671345416,75.56904932709382,64.41907675945416,4.865978948927506,1.036080426839122,1
1,0,0,0,63.77157129416211,1.6773678470621578,0.5694140394928611,0.35832201815875453,0.7532181134449812,7.495486179846698,75.05888335959894,64.40909796302394,4.754964838641332,1.0411206936120838,1
0,0,1,0,62.50246740840039,1.6044627836000827,0.7132325480001183,0.11207674519998818,0.6084558463996218,6.960920942399858,74.75237491239425,66.85747159720579,4.48135828959825,0.9567738644960587,1
1,0,0,0,61.150805199779754,1.4660897747380364,0.33264183722018265,0.3057702425592339,0.757340814561503,6.22912772995061,77.46750346607823,67.8790374336448,4.534583535797236,0.9376795890271709,1
0,1,0,1,58.35834513012706,1.0333421697127776,0.5107928452244542,0.596529738676002,0.4613168447401576,5.45330536641956,78.50895611863055,66.0080388621242,4.37904594020043,0.9393191070592244,1
0,0,1,0,55.92596469296437,1.7857626555883546,0.6845955262152521,0.45829729156703347,0.6061394869959009,7.628058393021726,76.15945326298073,62.49832870626898,4.2390680498524045,1.0241631106005396,1
0,0,1,0,60.46511264056044,1.3172977906842336,0.5918575950824344,0.3428016515498946,0.6225303585820164,6.282272582481391,77.7899072074609,65.18365157543288,4.8187191597691355,0.9822528790859549,1
0,0,0,1,62.61308124429508,1.6279263245474411,0.7467518922106303,0.10872481077893698,0.501193944925983,6.920697729347244,73.1199828493423,68.49656752909982,3.9852719952826714,0.9134131852235081,1
1,0,0,0,64.48067782503321,1.7305508368774907,0.5225623579888772,0.4778571190770267,0.746886805133632,7.731010849028888,74.02308131986221,64.38883777642762,4.529570262757302,1.05135406654734,1
1,0,0,0,63.94588106407561,1.6904410798056704,0.557897143980719,0.3877056650870306,0.7516617762136106,7.553381924853683,74.80426658854671,64.40411768388356,4.69955923320454,1.0436362209752181,1
0,0,1,0,56.08745168077795,1.7803303715946253,0.6840769900158507,0.44970440597695277,0.6101643155912548,7.612749229039398,76.18439238495195,62.547466184212254,4.263513327824186,1.024069906374696,1
0,0,1,0,62.90132864347953,1.6120996482609646,0.6269122146272456,0.21162397132940614,0.7609881371117899,7.206441299441415,76.33005923148883,64.43396203875773,5.031577681179722,1.0285619070251646,1
0,0,0,0,76.65788562119565,1.2268882947628454,0.4528552830887692,0.4835463210515481,0.34884331049489514,5.646863884494396,64.30427525274209,68.99365686358695,3.321473904784263,0.7514383503449981,1
0,1,0,0,71.69162439496301,1.6499017441386026,0.31979437380012643,0.8886319343038255,0.3833837560503699,6.447550714555675,68.87745880519418,68.34749841337502,6.009089546657098,1.0262258565614204,1
0,0,0,0,74.13901608186089,1.4507919119841992,0.36749777108711895,0.6915961629010304,0.3589098391813912,6.128145358807986,66.68310252999252,68.76645868519991,4.586283871053757,0.8776458988807886,1
0,0,0,0,71.03836929972856,1.367045328131059,0.25368804228383024,0.3280046996801079,0.37788934927297424,7.136680478189226,60.506291713357875,64.65330756436602,5.265179643854216,0.5656908500085962,1
0,1,1,0,76.14056046457102,1.1328291753765503,0.7028957754573373,0.48746545102597705,0.4624980797533351,4.620051831194007,63.90452399535034,67.44168139371308,5.053729353481867,0.9744666579323169,1
0,0,0,0,76.68877798821141,1.2325050887657114,0.43792397236448377,0.48331228796809533,0.3420563510747654,5.708180552359017,64.32814662725427,69.08633396463424,3.218031281898148,0.7381200876534134,1
0,0,0,0,70.79311679273368,1.372519714447909,0.24660783598070424,0.3213259483735509,0.3798236324382612,7.194708973147836,60.34023532841343,64.45695957513499,5.359339088504036,0.5590266469100758,1
0,0,0,0,74.12078309774996,1.3296638110738843,0.5704284788256035,0.3363996688941989,0.5419166798021507,5.50307580456357,66.52538103743431,69.79729796253393,4.245629543960497,0.8960859197353632,1
0,0,0,0,73.75928291399536,1.3420864978008464,0.591547046261439,0.3160885760956161,0.5708615398759722,5.463323207037291,66.82538892189044,69.87866656059553,4.407124471411004,0.9204338763194608,1
0,0,0,0,73.08323158543752,1.365318502218642,0.6310414537716915,0.2781042488725203,0.624992110169436,5.3889807929003455,67.3864418285802,70.0308361895321,4.7091405288423465,0.9659676523341428,1
0,0,0,0,70.50470888277383,1.378957391009513,0.23828177429436317,0.31347198296839407,0.3820982781566946,7.262948344700838,60.14495913937811,64.22606157579213,5.470067125363624,0.5511897896614264,1
0,0,0,0,76.71738337767636,1.2377060686684282,0.4240980341230947,0.4830955804721488,0.3357718336923158,5.764957916297009,64.35025079184082,69.17215013302906,3.1222465686897785,0.7257877826832307,1
0,0,0,0,73.52561189290428,1.3115265202476725,0.32549236714634344,0.39573764529783945,0.3582727038208443,6.548181114625329,62.19036221915393,66.64458214045014,4.310256148259969,0.633276254126645,1
0,0,0,0,72.10850787486663,1.343158306364584,0.28458192376847125,0.3571468662352074,0.36944926824881974,6.883478047464592,61.23086470694095,65.51005541172358,4.854322869470847,0.5947695366881591,1
0,0,0,0,72.52384550619631,1.3845413915396456,0.6637203656173977,0.2466748248326793,0.6697814422873745,5.327467547073134,67.85067460568244,70.15674611458468,4.959038090015394,1.0036437271556136,1
0,1,0,1,74.78398386738073,1.1291948109540628,0.1666107273520298,0.32787273533568784,0.3295373378423145,5.5753149462234965,68.83375950772971,67.28475984032684,3.093850648630742,0.5134090258564528,1
0,1,0,1,45.76320670682615,2.0342920560012385,0.3513256047525259,0.39145066661115635,0.6185989142122091,7.30445237672202,62.41936111835946,76.05214850234584,5.855989142122091,0.8157187561695738,1
0,1,0,1,47.71924660378814,1.9153324263955753,0.274923299972177,0.39534681177670794,0.6074556058698053,7.609586279279469,64.09111091241664,77.11332850060283,5.906229676418761,0.7819660101914078,1
0,1,0,1,47.43117400132652,1.8217248216997504,0.3779697164737906,0.39697981098252705,0.6310541292204128,7.8174954291540875,64.59706383725187,74.44840393494037,5.715091803395538,0.8376456293768633,1
0,0,1,0,49.383434969636234,1.5008052104707565,0.4301191532985021,0.4317461021990014,0.6261511907155255,7.714979442233714,67.00396092146933,72.78140484327865,5.33622837347242,0.8749293838934619,1
0,1,0,1,47.09211863607232,2.0326108216895262,0.3259646445930761,0.3536682070171996,0.5725577885791401,7.679779700792503,63.80849067434796,73.75505293137377,6.223494706862623,0.7491803364000655,1
0,1,0,1,45.70829242601561,2.0083603122851508,0.36002036588086117,0.40418772896582295,0.6092939944082012,6.96657701006829,62.2828381146777,76.20087467954104,5.762939944082012,0.8203022519423852,1
0,0,1,0,50.05362232338686,1.390637426292571,0.4480214182274573,0.4436809454849715,0.624468071790581,7.679786955621238,67.83021930280572,72.20914440879751,5.206169183817618,0.8877284415927004,1
0,1,0,1,45.915041000554645,2.075125193187592,0.3341918898368524,0.3697799690899853,0.6341845777695608,7.8914026134399355,62.70236650284238,75.82917572020153,6.016631951656882,0.8068797270413453,1
0,0,1,0,50.270368182114346,1.9103704545340636,0.3000784491954488,0.31411985293749123,0.41148812832723686,7.111721524011237,66.77102192540976,68.50590775352156,6.748409224647844,0.5983842469424441,1
0,1,0,0,45.372688664822675,1.8498807583884855,0.4131576280697431,0.4820291569091851,0.5524278015393977,4.901681646061737,61.44848987504526,77.10980153277193,5.194278015393977,0.8483138802121709,1
0,1,0,1,46.63876114148217,1.3923704814572329,0.45612804842012195,0.41622275006859966,0.7990369212909252,4.2630197754183765,68.33501470122646,71.9459024505561,4.048243067311102,1.0100933814233644,1
0,1,0,1,47.68958645130986,1.9179593320095938,0.2758976431453766,0.394926506878465,0.6078950155361502,7.614219185544193,64.0682807145348,77.09221773185017,5.9080446293884465,0.7823755780584211,1
0,1,0,1,45.922700916181725,2.0696930000797167,0.33767488748704605,0.3701165916580307,0.6348425319456623,7.8967074861365765,62.73730249940212,75.7364608615252,6.007832013982998,0.8088372164062709,1
0,0,1,0,49.0918684912995,1.5487339466356984,0.42233073367169904,0.4265538224477993,0.6268834352958231,7.730290010730848,66.64449540023226,73.03036800057988,5.3928109092227,0.8693611257660724,1
0,0,1,0,51.040037947374195,1.6212204716496283,0.16583450221186216,0.4424047245360595,0.5582586970759379,7.090879740909345,66.64721117366322,79.47691911874298,5.703025053139743,0.7361102301719066,1
0,0,1,0,49.10328545795642,1.5468571849934665,0.42263570743856177,0.4267571382923745,0.6268547625485112,7.72969048965069,66.658571112549,73.02061926649384,5.390595287839509,0.8695791639223794,1
0,1,0,1,46.491398269869705,2.0557154511588576,0.3308573896571698,0.3611432341984539,0.6030015356446121,7.787148273032338,63.24854318367945,74.74719290270389,6.124280709729612,0.7776822777261377,1
0,1,0,0,45.31753189597498,1.8238345064326305,0.4218907831372945,0.49482246301691385,0.5430817934846498,4.562314304401628,61.311364019160024,77.25918444840109,5.100817934846497,0.85291761558162,1
0,0,1,0,49.258638696915774,1.949283127041701,0.3083187798441249,0.32670924698407977,0.4627612968078884,7.292551002134964,65.82796186228349,70.17686369061421,6.581313630938578,0.6463870383365028,1
0,0,1,0,48.74440745863484,1.6058508287175606,0.4130492403333964,0.4203661602222643,0.6277560543276294,7.748535681395888,66.2161187846183,73.327058471394,5.460240561680453,0.8627254084842946,1
0,1,1,0,68.2362553945434,1.7387852137902786,0.6890495660483973,0.38123808424190236,0.45884452583875973,6.07700027868266,72.95162923002633,68.9034953818013,4.308652480295901,0.934492600526345,1
0,1,0,0,70.84232628482577,1.676858003109765,0.37310574494663185,0.8344289946215412,0.45470997405116304,6.342749229945602,69.57912386225176,68.55746225994767,6.382114794932518,1.0837433832613996,1
0,1,0,0,70.860911670861,1.6118091519864883,0.47881012802195644,0.6481104996184416,0.5492631255053544,6.015181801074816,69.47225789254924,69.0964384549691,6.18929141481709,1.091597026463785,1
0,0,0,0,71.17670018904873,1.4081023029709154,0.6957108860793156,0.16512628553887695,0.7572671797202812,5.179239555609994,69.33442568377058,70.157606719864,5.451399837958228,1.051131532758886,1
0,0,0,0,72.3777597070983,1.264453988519804,0.4151976498039508,0.2062256643957227,0.5693273016467437,5.31091717719018,69.98483332975755,68.5256022584611,4.421920251058596,0.7754834219864103,1
0,0,0,0,70.6390038219961,1.470283240521926,0.7510115598795556,0.1788289043934519,0.7645236954058074,5.243955694952643,69.57125823323757,70.35615990384291,5.5410076909378265,1.094314649693754,1
0,0,0,0,70.8773965575174,1.5541120486890807,0.572567920880244,0.48284951088800954,0.6331299863698007,5.724635673755728,69.37746979427492,69.57450016800476,6.0182607157569175,1.0985630597646696,1
0,0,0,0,69.48919835295156,1.5987715307589947,0.7213604159786935,0.27568930780293455,0.6182447188282214,5.64259885184201,71.18889286160683,69.66100530794492,4.951279384465126,1.0178337896474061,1
0,0,0,0,71.10868963086213,1.4162364561095129,0.7115950795694101,0.1627990139464449,0.7679093634099463,5.17178324856628,69.2975960459486,70.2500197374664,5.509694602118176,1.0667402362369311,1
0,0,0,0,71.95994980724814,1.3144246077709874,0.512779164619456,0.19192851499885638,0.6347055285003753,5.265110776209928,69.75857747037024,69.09332401606483,4.780043022358743,0.8713725164275934,1
0,0,0,0,70.9011201520967,1.4710794676615682,0.7074958650499518,0.24502047523063447,0.7538237737919349,5.306507319295754,69.241059125444,70.26248441080415,5.772128421996791,1.1085879603478852,1
0,0,0,1,67.81445914566467,1.4319176478999076,0.7483011774798893,0.359675272922324,0.9194270462913741,4.010388353886997,65.16498865415407,71.21508228060793,5.962882323503228,1.242557724130618,1
0,0,0,1,70.91947688025965,1.6769220064911177,0.5201303054829178,0.6156286925927683,0.6672713643909386,4.581387184421318,72.53533873165458,67.17466126834542,4.39114428468832,1.053725855395577,1
0,0,0,0,71.12767259052639,1.413966068907142,0.7071615178936692,0.1634485969515677,0.7649389401535109,5.17386443683512,69.30787585467044,70.22422561619503,5.493423493834518,1.062383568736537,1
0,1,0,1,73.78489677394802,1.0961585253749875,0.08655400927393397,0.2543768663510453,0.34914073736560863,5.465188018406262,70.74683778788547,66.61357880217695,3.2158027651874104,0.4525396642075069,1
0,0,0,1,68.90853162454026,1.4347742340066325,0.7517290808079591,0.2876893030328598,0.8768639133011751,4.41316699493519,66.587568535303,70.96941587542959,5.862901809767861,1.1965343380131592,1
0,0,0,0,69.76266345343666,1.4370043432204611,0.7544052118645536,0.23149055084437622,0.8436352860151273,4.727612394085038,67.69816292378971,70.77762648304032,5.784847987283856,1.1606043244943929,1
0,0,0,0,70.64175135728618,1.4699762093577038,0.7510824132251452,0.17859745013119208,0.7648732385773834,5.243003111084159,69.56739278960596,70.3578210211673,5.542416885255667,1.094497405705663,1
0,1,1,0,69.16282130443425,1.635243464547463,0.7129438158736624,0.3031835348127029,0.5767228249767344,5.755755364365206,71.64806515622574,69.46368279437141,4.783882560153952,0.9961243804977561,1
0,0,0,1,70.91794515544491,1.6386288861226872,0.5585765983328221,0.5413400390780131,0.6885623393157859,4.673290673305551,71.99463987205235,67.71536012794765,4.599458859492582,1.0631995678500288,1
1,0,0,1,56.49352762613932,1.9816219965886783,0.34160950659345335,0.4931826697724017,0.5846740394328612,5.224362043174704,66.23336976248606,67.62333853749801,6.4503304704440545,0.85343555933472,1
0,1,1,0,56.94246106338651,1.7220090404585588,0.6271421410652227,0.4451054757415972,0.7065479658968242,4.474379699259476,64.58794575724865,67.33475138738963,5.226027121375677,1.0456216742768805,1
0,1,1,0,57.04120906561542,1.7163549082316047,0.6368652210791802,0.48073434788486996,0.6844004310359498,4.5285134871990165,64.7910028086639,67.19753915462873,5.223645091768395,1.058353071961594,1
0,1,1,0,57.605459237002016,1.7159712671736735,0.5243753678844332,0.5903654229645661,0.7009569007605104,4.273166748036535,64.94647102306406,65.78656433512211,5.4294941069689715,1.0775983935087436,1
0,1,1,0,57.65500176357233,1.7052354752976029,0.6273025087559384,0.559237544398924,0.6154599468451376,4.9510519386910925,65.3736610944056,66.61043309571343,5.234764524702397,1.0635991742279682,1
0,1,1,0,57.28153021380649,1.7176761567694394,0.5733056992829143,0.5330811325468321,0.7035142351541592,4.322608546313746,64.79985051782819,66.46511039423693,5.340839847989145,1.068726344801396,1
0,1,1,0,56.93835157461805,1.6637991002182573,0.6394379910021826,0.37097965482629464,0.6547331632029793,5.255493856638838,65.42334318180252,67.9351487278829,5.175039280174605,0.995293104815636,1
1,0,0,0,59.0576123714994,1.6798258628351557,0.6054502420382339,0.7386294083838003,0.4579203495779658,5.9166172122640805,66.70512478743784,65.26880555769623,5.260174137164844,1.075587323832191,1
1,0,1,0,57.165229818771145,1.5341543892736293,0.6381415438927363,0.17716081196407568,0.5341635820244752,7.25202240518611,67.32263819714133,69.19270242404579,5.071323511418903,0.8537929480890842,1
0,1,1,0,56.641499679681495,1.8698879969751996,0.469046662909367,0.4768755455044886,0.636917233846731,4.868021179542528,65.53578722435867,67.5236838891941,5.924878688477966,0.9402176351491202,1
1,0,0,1,56.39600560895508,2.0552610707890238,0.2576211571000862,0.5039299941151548,0.550242796631078,5.459210982516347,66.69311641492607,67.68901663070372,6.796633143710545,0.796241225092113,1
0,1,1,0,57.49585123054568,1.7328598280499152,0.5576971004805422,0.39166534685416726,0.704106538688769,4.930112778096442,64.52284103170051,67.03635472862733,5.258579484149745,0.9861479253855351,1
0,1,1,0,58.15496608230887,1.6961781506828104,0.619513209587217,0.6231822561793585,0.5593045342334246,5.295230274053204,65.84826490422073,66.1322063560524,5.2438218493171895,1.0678723823556644,1
0,1,1,0,56.9191101492356,1.6747942004368,0.639547942004368,0.3874173296530161,0.6649586064062241,5.086169313273279,65.26226496360087,67.82849625576304,5.183835360349439,1.0072936591985484,1
0,0,0,1,58.05690448013411,1.7135952395782414,0.45618337589553276,0.6701999501710836,0.6973928593673623,4.204261947769005,65.15080939627121,64.84090535214014,5.553047541931439,1.0899629669151558,1
1,0,0,1,56.36029925356434,2.082223012614679,0.2268699693962306,0.5078649802194397,0.5376362670747581,5.545197715906275,66.8614463760538,67.71306376800769,6.923427140404168,0.7753003003269423,1
1,0,0,1,56.544288382938745,1.94329244553605,0.3853259134696942,0.48758862718634244,0.6025956943844955,5.1021218533311865,65.9940690518602,67.58915272169432,6.270077987115479,0.8832055310254124,1
0,1,1,0,57.51984675981575,1.7164218591588645,0.5373073578594114,0.5752255322621525,0.7016327887382967,4.28623391560707,64.90772011233764,65.96589994522807,5.406063323739045,1.075253564817383,1
1,0,1,0,57.066736106096684,1.5904365108018943,0.638704365108019,0.26130258364883197,0.5865059550457618,6.3852777336508275,66.49810511675224,68.64676584522162,5.116349208641515,0.9152218252035065,1
0,1,1,0,56.88302223746289,1.6954158643069224,0.6397541586430693,0.41824671713884914,0.6841367538054379,4.768595689673393,64.96015758790358,67.62846611622285,5.200332691445538,1.0298010846717778,1
0,0,1,0,60.48942088226881,1.3733815931442663,0.4142888667230344,0.6604905197151077,0.49147431956549814,5.504060664043216,69.14775249882919,68.16670459867301,5.269772489462745,0.9310515220389246,1
0,0,1,0,59.51777155596519,1.4543523703362344,0.5261056542738475,0.5513727580706936,0.5415990863986213,4.8601501978023265,69.10533923458578,70.09458024610082,4.888053111272038,0.9582062652544666,1
0,0,1,0,57.77368927343798,1.5420260103184145,0.6567221087706522,0.2953145152639705,0.5683559221845907,5.570256610036765,68.36698839209974,71.13613284610997,4.6910643271665595,0.9238560858477758,1
0,1,1,0,56.082300282721974,1.6127278309608166,0.6192721690391833,0.6304568900354303,0.40722010713734996,3.668481126927888,70.17486039383076,74.32658383016881,5.011016675760731,1.0057554769369117,1
0,0,1,0,59.8244553342293,1.4287953888142255,0.49081267979107335,0.5858138331694008,0.5257780978373776,5.063389050858302,69.11872622490684,69.48608068605299,5.008536024161508,0.9496353549253097,1
0,0,1,0,58.41723762850778,1.5420560484433719,0.6164455259806789,0.4112250499930219,0.6309731192796554,4.0688075482340285,69.1425907900322,72.96098369244764,4.486897338405792,0.9972361121965525,1
1,0,0,1,59.74493171447925,1.7238281330936167,0.8126191475720209,0.5926240325090952,-0.0012119441100515438,5.56271491996489,71.36407237994733,74.6373731470335,4.888310571493084,1.097019229443209,1
0,0,1,0,58.813700815135185,1.4995170799211177,0.48474487943578015,0.4164998820897814,0.6878051812253868,4.184513542614559,69.36209186760703,73.79304591674294,4.716607768425964,1.0057689574278075,1
0,1,1,0,55.60837525972562,1.624255736925593,0.6077442630744069,0.678874095087491,0.3635421523152529,3.591628420496046,70.42078905441265,74.7018812132443,5.146789790456985,1.0084049978730332,1
1,0,1,0,60.166506070915176,1.3543663014039509,0.035358069146631754,0.4344985786259101,0.8817266213243217,4.579323660181254,70.11106988475562,76.63219514453873,5.500421972418666,1.03488459354473,1
1,0,1,0,57.39780398199433,1.5278416596978992,0.6446654107432144,0.20559849758921234,0.5378595683504832,6.793656851056195,67.82798306852017,69.97301609522773,4.9286522000601884,0.8687879852761589,1
0,1,1,0,56.205746420590806,1.60972508706671,0.62227491293329,0.6178453656801821,0.41859717011390984,3.6884994195552663,70.11080185742314,74.22882783450513,4.975651025452362,1.0050653400779233,1
1,0,0,1,59.38917206416055,1.6848407741545803,0.7791549978160147,0.5489257010315921,0.1435286259511207,5.195583956622298,70.81337593493345,74.15490458016293,4.769724021386848,1.0724165584586098,1
0,0,1,0,58.09855148098022,1.5542849615464236,0.66714221731446,0.3728523817811288,0.5947126673248105,4.51292206662097,68.83282853876409,72.14136684680673,4.4857268940974055,0.9714491817312194,1
0,1,1,0,55.3812192435084,1.629781153536282,0.6022188464637178,0.7020808448523852,0.34260696271253077,3.5547923097581187,70.53866460877401,74.88176422068119,5.211866919427324,1.009674934237499,1
0,0,1,0,58.8443865431783,1.6251382513072115,0.7279103323720232,0.48200912334016616,0.36517424202197746,4.633385199809574,69.97007779971436,73.41608585992674,4.588128847726101,1.0347417436843869,1
0,0,1,0,57.723502851812974,1.5401321830872823,0.6551123556241898,0.2833360580270595,0.5642841936376566,5.733599208721915,68.29502295731672,70.98083901315714,4.722785933288024,0.91650365419832,1
0,0,1,0,57.948669461496834,1.5486290362828994,0.6623346808404644,0.33707865448933827,0.5825524280082336,5.0007456205999326,68.61790337875017,71.67758097519774,4.580463642261436,0.9494911048639691,1
0,0,1,0,57.754835056901136,1.5720445526699725,0.6599554473300276,0.459587121213884,0.5613645282171046,3.939702982200184,69.30695045695941,73.0021171035891,4.531858064779675,0.9964050191945428,1
0,0,1,0,59.83648539616718,1.4277928836527354,0.4894282679013964,0.5871648282203614,0.5251574994040742,5.0713613538092,69.11925134665809,69.46221151554131,5.013262119922819,0.9492991500477403,1
0,0,0,1,60.05490441109699,1.391629961044687,0.36834801558212515,0.3008297399140671,0.48225846929308136,4.276416991294274,59.0815863771559,72.4012185495068,3.8536858615902,0.6810011711792308,1
0,0,1,0,59.47862445567526,1.412459357023786,0.3600162571904856,0.6181308719956734,0.5877940755871824,4.10283869146845,61.0187202032121,71.39446441051702,4.284160045158244,0.9357083880760751,1
0,0,0,1,58.7057939688037,1.2280307344168304,0.412509390950773,0.3325304495564788,0.5352942514853956,5.299926008930351,59.18724530416151,72.88651109793423,4.016903813061893,0.7535881515606951,1
0,0,0,1,60.10068019967265,1.3900026938600896,0.36899461227982056,0.2760284202239464,0.4739744083291478,4.290246488198208,58.930193957926456,72.47959861484664,3.819989224559641,0.6610684655658859,1
1,0,0,0,61.84295036479895,1.1293241389890127,0.5243832583281178,0.31842371855669005,0.6094492218978659,4.474006490125403,60.059595397714276,72.0199837746865,4.62247274860245,0.866017739990424,1
0,0,0,1,60.25976500807913,1.3661055266509223,0.38324298019239134,0.27988870840779106,0.4864157557598148,4.306866687069937,59.033542717846004,72.43783328232516,3.8935574963883366,0.6798558618986247,1
0,0,0,1,59.19968724150387,1.4811359540808968,0.44384195016946376,0.32543435084994105,0.5383475069722695,4.31761695578209,60.495881392844495,71.07429695069162,4.206637380949259,0.7703122523957637,1
0,1,1,0,57.795256650894366,1.6233022408603863,0.5605906281004991,0.4025487912545732,0.6387255215771819,4.360697648745571,62.938556683873905,68.8814896788504,4.809767082438002,0.9407238548293156,1
0,0,0,1,60.313771609730566,1.3580282929728482,0.38805764497304723,0.2812032385946149,0.4906127497297944,4.312568263783872,59.06854406378432,72.42357934054033,3.9184227059463295,0.6862063314441602,1
0,1,1,0,57.36375651491944,1.6669817024774807,0.5964607314284767,0.42624159013172447,0.6695658687189485,4.3739338492356,63.68904925165853,68.20776707390795,4.9950738892984035,0.9930814651757777,1
0,0,0,1,60.08323053952882,1.3880518394441226,0.3695233294042259,0.27667994623322784,0.4747372450731065,4.302147354054294,58.93309413735345,72.484889501003,3.822368352048321,0.6621823978529277,1
0,0,0,1,60.941669393978486,1.2641198267070297,0.4440344562373783,0.2964863811437579,0.539408325338504,4.378856592912685,59.47548075093621,72.25785851771829,4.207513474646986,0.7600388932911548,1
0,1,1,0,57.68465277694425,1.6344983385301834,0.5697849992172114,0.40862182605122077,0.6466306450834326,4.364090405615207,63.13092599838224,68.70879835418596,4.8572656786129,0.9541443709596418,1
